Variable,,,
COMPANY_ID,3783310,,
TICKER,AAPL,,
COMPANY,Apple Inc.,,
ADR,FALSE,,
SIC,3571,,
IND_2_DIG,10,,
IND_3_DIG,1006,,
OPTIONABLE,TRUE,,
SP,500,,
EXCHANGE,M,,
PE,21.4,PE,Current
PE_EY0,18.4,PE,Estimated Current FY
PE_EY1,15.6,PE,Estimated FY1
PE_EY2,13.3,PE,Estimated FY1
PE_1T,17.8,PE,1 Yr Ago
PE_A3Y,24.3,PE,3 Yr Avg
PE_A5Y,27.8,PE,5 Yr Avg
PE_A7Y,44.3,PE,7 Yr Avg
PEA_Y1,16.1,PE Avg,1 Yr Ago
PEA_Y2,20.6,PE Avg,2 Yr Ago
PEA_Y3,36.2,PE Avg,3 Yr Ago
PEA_Y4,31.6,PE Avg,4 Yr Ago
PEA_Y5,34.4,PE Avg,5 Yr Ago
PEA_Y6,66.7,PE Avg,6 Yr Ago
PEA_Y7,104.8,PE Avg,7 Yr Ago
PEH_A3Y,34.9,PE High,3 Yr Avg
PEH_A5Y,38.9,PE High,5 Yr Avg
PEH_A7Y,62.3,PE High,7 Yr Avg
PEL_A3Y,13.7,PE Low,3 Yr Avg
PEL_A5Y,16.7,PE Low,5 Yr Avg
PEL_A7Y,26.5,PE Low,7 Yr Avg
PBVPS,5.8,P/B,S Yr Avg
PBVPS_1T,5.22,,1 Yr Ago
PBVPS_A3Y,6.04,,3 Yr Avg
PBVPS_A5Y,6,,5 Yr Avg
PBVPS_A7Y,4.99,,7 Yr Avg
PBVPSA_Y1,4.12,,1 Yr Ago
PBVPSA_Y2,5.52,,2 Yr Ago
PBVPSA_Y3,8.47,,3 Yr Ago
PBVPSA_Y4,6.06,,4 Yr Ago
PBVPSA_Y5,5.81,,5 Yr Ago
PBVPSA_Y6,3.32,,6 Yr Ago
PBVPSA_Y7,1.61,,7 Yr Ago
PSPS,4.47,,P Yr Avg
PSPS_1T,3.17,,1 Yr Ago
PSPS_A3Y,3.78,,3 Yr Avg
PSPS_A5Y,3.51,,5 Yr Avg
PSPS_A7Y,2.96,,7 Yr Avg
PSPSA_Y1,3.04,,1 Yr Ago
PSPSA_Y2,3.29,,2 Yr Ago
PSPSA_Y3,5.01,,3 Yr Ago
PSPSA_Y4,3.13,,4 Yr Ago
PSPSA_Y5,3.1,,5 Yr Ago
PSPSA_Y6,2.04,,6 Yr Ago
PSPSA_Y7,1.1,,7 Yr Ago
PCFPS,41.6,,S Yr Avg
PCFPS_1T,NA,,1 Yr Ago
PCFPS_A3Y,NA,,3 Yr Avg
PCFPS_A5Y,NA,,5 Yr Avg
PCFPS_A7Y,NA,,7 Yr Avg
PCFPSA_Y1,NA,,1 Yr Ago
PCFPSA_Y2,49.9,,2 Yr Ago
PCFPSA_Y3,42.8,,3 Yr Ago
PCFPSA_Y4,21.6,,4 Yr Ago
PCFPSA_Y5,87.5,,5 Yr Ago
PCFPSA_Y6,NA,,6 Yr Ago
PCFPSA_Y7,6,,7 Yr Ago
PFCPS,19.1,,S Yr Avg
PFCPS_1T,14,,1 Yr Ago
PFCPS_A3Y,19.4,,3 Yr Avg
PFCPS_A5Y,23.7,,5 Yr Avg
PFCPS_A7Y,28.2,,7 Yr Avg
PFCPSA_Y1,14.8,,1 Yr Ago
PFCPSA_Y2,15,,2 Yr Ago
PFCPSA_Y3,28.3,,3 Yr Ago
PFCPSA_Y4,40.3,,4 Yr Ago
PFCPSA_Y5,20.1,,5 Yr Ago
PFCPSA_Y6,23.2,,6 Yr Ago
PFCPSA_Y7,55.5,,7 Yr Ago
YIELD,0,,D Yr Avg
YIELD_1T,0,,1 Yr Ago
YIELD_A3Y,NA,,3 Yr Avg
YIELD_A5Y,NA,,5 Yr Avg
YIELD_A7Y,NA,,7 Yr Avg
YIELDA_Y1,NA,,1 Yr Ago
YIELDA_Y2,NA,,2 Yr Ago
YIELDA_Y3,NA,,3 Yr Ago
YIELDA_Y4,NA,,4 Yr Ago
YIELDA_Y5,NA,,5 Yr Ago
YIELDA_Y6,NA,,6 Yr Ago
YIELDA_Y7,NA,,7 Yr Ago
PE_TO_G5F,0.2,,5 Yr Avg
PE_TO_G5E,1,,5 Yr Avg
PE_TO_DG5F,0.2,,5 Yr Avg
PE_AEPS3Y,38.1,,3 Yr Avg
PGFPS,18.7,,S Yr Avg
IW_RV,76,,
IW_EYIELD,0,,
PE_TO_YG5E,1.2,,5 Yr Avg
EYIELD_12M,4.68,,12 Yr Ago
THUMB,31.85,,B Yr Avg
PEH_Y1,23.56,,1 Yr Ago
PEH_Y2,29.54,,2 Yr Ago
PEH_Y3,51.64,,3 Yr Ago
PEH_Y4,41.04,,4 Yr Ago
PEH_Y5,48.68,,5 Yr Ago
PEL_Y1,8.61,,1 Yr Ago
PEL_Y2,11.67,,2 Yr Ago
PEL_Y3,20.84,,3 Yr Ago
PEL_Y4,22.1,,4 Yr Ago
PEL_Y5,20.19,,5 Yr Ago
PERH_A5Y,1.76,,5 Yr Avg
