GROUP,VARNAME,FORMULA,SUBFORNA,SUBVAL
mlt,COMPANY_ID,COMPANY_ID,FALSE,NA
mlt,PEv1T,PE/PE_1T,TRUE,NA
mlt,PEv1T,PE/PE_1T,TRUE,NA
mlt,PEvA3Y,PE/PE_A3Y,TRUE,NA
mlt,PEvA5Y,PE/PE_A5Y,TRUE,NA
mlt,PEvA7Y,PE/PE_A7Y,TRUE,NA
mlt,PEvA_Y1,PE/PEA_Y1,TRUE,NA
mlt,PEvA_Y2,PE/PEA_Y2,TRUE,NA
mlt,PEvA_Y3,PE/PEA_Y3,TRUE,NA
mlt,PEvA_Y4,PE/PEA_Y4,TRUE,NA
mlt,PEvA_Y5,PE/PEA_Y5,TRUE,NA
mlt,PEvA_Y6,PE/PEA_Y6,TRUE,NA
mlt,PEvA_Y7,PE/PEA_Y7,TRUE,NA
mlt,PEvH_A3Y,PE/PEH_A3Y,TRUE,NA
mlt,PEvH_A5Y,PE/PEH_A5Y,TRUE,NA
mlt,PEvH_A7Y,PE/PEH_A7Y,TRUE,NA
mlt,PEvL_A3Y,PE/PEL_A3Y,TRUE,NA
mlt,PEvL_A5Y,PE/PEL_A5Y,TRUE,NA
mlt,PEvL_A7Y,PE/PEL_A7Y,TRUE,NA
mlt,PE,PE,TRUE,NA
mlt,PBVPSv1T,PBVPS/PBVPS_1T,TRUE,NA
mlt,PBVPSvA3Y,PBVPS/PBVPS_A3Y,TRUE,NA
mlt,PBVPSvA5Y,PBVPS/PBVPS_A5Y,TRUE,NA
mlt,PBVPSvA7Y,PBVPS/PBVPS_A7Y,TRUE,NA
mlt,PBVPSvA_Y1,PBVPS/PBVPSA_Y1,TRUE,NA
mlt,PBVPSvA_Y2,PBVPS/PBVPSA_Y2,TRUE,NA
mlt,PBVPSvA_Y3,PBVPS/PBVPSA_Y3,TRUE,NA
mlt,PBVPSvA_Y4,PBVPS/PBVPSA_Y4,TRUE,NA
mlt,PBVPSvA_Y5,PBVPS/PBVPSA_Y5,TRUE,NA
mlt,PBVPSvA_Y6,PBVPS/PBVPSA_Y6,TRUE,NA
mlt,PBVPSvA_Y7,PBVPS/PBVPSA_Y7,TRUE,NA
mlt,PBVPS,PBVPS,TRUE,NA
mlt,PSPSv1T,PSPS/PSPS_1T,TRUE,NA
mlt,PSPSvA3Y,PSPS/PSPS_A3Y,TRUE,NA
mlt,PSPSvA5Y,PSPS/PSPS_A5Y,TRUE,NA
mlt,PSPSvA7Y,PSPS/PSPS_A7Y,TRUE,NA
mlt,PSPSvA_Y1,PSPS/PSPSA_Y1,TRUE,NA
mlt,PSPSvA_Y2,PSPS/PSPSA_Y2,TRUE,NA
mlt,PSPSvA_Y3,PSPS/PSPSA_Y3,TRUE,NA
mlt,PSPSvA_Y4,PSPS/PSPSA_Y4,TRUE,NA
mlt,PSPSvA_Y5,PSPS/PSPSA_Y5,TRUE,NA
mlt,PSPSvA_Y6,PSPS/PSPSA_Y6,TRUE,NA
mlt,PSPSvA_Y7,PSPS/PSPSA_Y7,TRUE,NA
mlt,PSPS,PSPS,TRUE,NA
mlt,PCFPSv1T,PCFPS/PCFPS_1T,TRUE,NA
mlt,PCFPSvA3Y,PCFPS/PCFPS_A3Y,TRUE,NA
mlt,PCFPSvA5Y,PCFPS/PCFPS_A5Y,TRUE,NA
mlt,PCFPSvA7Y,PCFPS/PCFPS_A7Y,TRUE,NA
mlt,PCFPSvA_Y1,PCFPS/PCFPSA_Y1,TRUE,NA
mlt,PCFPSvA_Y2,PCFPS/PCFPSA_Y2,TRUE,NA
mlt,PCFPSvA_Y3,PCFPS/PCFPSA_Y3,TRUE,NA
mlt,PCFPSvA_Y4,PCFPS/PCFPSA_Y4,TRUE,NA
mlt,PCFPSvA_Y5,PCFPS/PCFPSA_Y5,TRUE,NA
mlt,PCFPSvA_Y6,PCFPS/PCFPSA_Y6,TRUE,NA
mlt,PCFPSvA_Y7,PCFPS/PCFPSA_Y7,TRUE,NA
mlt,PCFPS,PCFPS,TRUE,NA
mlt,PFCPSv1T,PFCPS/PFCPS_1T,TRUE,NA
mlt,PFCPSvA3Y,PFCPS/PFCPS_A3Y,TRUE,NA
mlt,PFCPSvA5Y,PFCPS/PFCPS_A5Y,TRUE,NA
mlt,PFCPSvA7Y,PFCPS/PFCPS_A7Y,TRUE,NA
mlt,PFCPSvA_Y1,PFCPS/PFCPSA_Y1,TRUE,NA
mlt,PFCPSvA_Y2,PFCPS/PFCPSA_Y2,TRUE,NA
mlt,PFCPSvA_Y3,PFCPS/PFCPSA_Y3,TRUE,NA
mlt,PFCPSvA_Y4,PFCPS/PFCPSA_Y4,TRUE,NA
mlt,PFCPSvA_Y5,PFCPS/PFCPSA_Y5,TRUE,NA
mlt,PFCPSvA_Y6,PFCPS/PFCPSA_Y6,TRUE,NA
mlt,PFCPSvA_Y7,PFCPS/PFCPSA_Y7,TRUE,NA
mlt,PFCPS,PFCPS,TRUE,NA
mlt,YIELDv1T,YIELD/YIELD_1T,TRUE,NA
mlt,YIELDvA3Y,YIELD/YIELD_A3Y,TRUE,NA
mlt,YIELDvA5Y,YIELD/YIELD_A5Y,TRUE,NA
mlt,YIELDvA7Y,YIELD/YIELD_A7Y,TRUE,NA
mlt,YIELDvA_Y1,YIELD/YIELDA_Y1,TRUE,NA
mlt,YIELDvA_Y2,YIELD/YIELDA_Y2,TRUE,NA
